source_row,关键词,关键词翻译,趋势,旺季,淡季,综合,月搜索量,月购买量,购买率,SPR,PPC竞价,AC推荐词,流量占比,流量词类型,首个ASIN自然排名,首个ASIN广告排名,预估周曝光量,相关产品,相关ASIN,ABA周排名,unnamed_21,unnamed_22,unnamed_23,unnamed_24,标题密度,商品数,供需比,广告竞品数,点击集中度,前三ASIN转化总占比,unnamed_31,建议竞价范围,#1_前三ASIN,#1_点击共享,#1_转化共享,#2_前三ASIN,#2_点击共享,#2_转化共享,#3_前三ASIN,#3_点击共享,#3_转化共享,前十ASIN
281,electric car jack,电动汽车千斤顶,,,0.0001,自然搜索词,19641,290,0.0148,4,3,83963,,,,,39,233,84.3,83,0.342,0.1876,$1.16,$0.81 - $1.58,B07TT6C89G,0.1493,0.0438,B0BVB2SDGR,0.1263,0.125,B07W5L3L8B,0.0664,0.0188,"B09J8HMQJ4,B0887TR1ZR,B0BV9TYFVX,B07TT6C89G,B0BP65PNXV,B07W5L3L8B,B0BVB2SDGR,B0B3WMYCDF,B0B2JLD71Z,B08MLBBP11",,,,,,,,
282,motopower,动力,,,,SP广告词,1211,288,0.2381,4,0,1404645,,,,,32,211,5.74,,0.6855,0.5,$1.79,$1.35 - $2.25,B07Z3HB7DR,0.3714,0,B06XWDZ2KQ,0.2,0.5,B08K3885C4,0.1143,0,"B07Z3HB7DR,B06XWDZ2KQ,B07TDWJ9VW,B01DYE5EBI,B01FG7NW60,B08K3885C4,B0BX75H6DR,B01DYE581Y,B08P6VTY52,B073VN9L3M",,,,,,,,
283,jump starter power bank,起动器电源库,,,,#REF!,2157,287,0.1331,4,0,1648993,,,,,0,625,3.45,50,0.3571,0.5714,$4.96,$2.81 - $6.00,B015TKUPIC,0.1571,0,B0BQHNQH2K,0.1286,0.2857,B08NPHZV8N,0.0714,0.2857,"B0BQHNQH2K,B07X7YZYFV,B0C8HZF96X,B0C4XWBJKF,B01D42TYFC,B09ZXSWTJQ,B015TKUPIC,B0BX9D63W9,B087LRFYDB,B08CXMS19H",,,,,,,,
284,jump in,跳进去,,,,视频广告词,2262,286,0.1268,4,1,715944,,,,,5,6948,0.33,1,0.8165,0.6364,$1.35,$1.00 - $1.69,B00DY0IT7E,0.5633,0,B00DY0IUN2,0.1361,0,1619635801,0.1171,0.6364,"1619635801,1090432429,B00DY0IUN2,1090531311,034548102X,1932012745,0593531817,B00RKY15PI,0807560790,1945501898",,,,,,,,
285,gb40 noco boost plus,gb40 noco boost plus,,,0.0006,自然搜索词/品牌广告词/视频广告词/SP广告词,3541,284,0.0803,4,2,508585,,,,,0,91,38.91,3,0.8877,0.8646,$1.01,$0.76 - $1.26,B015TKUPIC,0.814,0.8229,B016UG6PWE,0.0442,0.0313,B07C2VZGJY,0.0295,0.0104,"B015TKUPIC,B07MVY7K43,B07C2VZGJY,B0924V8SPC,B016UG6PWE,B09G76SGHD,B015TKPT1A,B087LRFYDB,B015TKSSB8,B0C4Y9NTQT",,,,,,,,
286,livowalny,livowalny,,,,SP广告词,2561,283,0.1106,4,0,1887973,,,,,19,107,23.93,20,0.7293,0.8,$1.86,$1.41 - $2.24,B0BD753K33,0.5176,0.7333,B0BD74BRCT,0.1529,0.0667,B0C4LF6S6R,0.0588,0,"B0CMPV6TY3,B0BD74BRCT,B0CMH9MT2X,B0C9QHG8RY,B0C3LW3JQL,B0C2PTYS6N,B0BD76Y8BC,B0BD753K33,B0CJTNCHMD,B0CCXS1RMB",,,,,,,,
287,gbx55,gbx55,,,,自然搜索词,1883,282,0.15,4,0,1529139,,,,,10,33,57.06,5,0.9197,0.8485,$1.00,$0.75 - $1.10,B08WZKRHZZ,0.8066,0.7576,B0924V8SPC,0.0693,0.0606,B08WYKD6TY,0.0438,0.0303,"B08WZKRHZZ,B09P9ZM86Q,B0924V8SPC,B08WYKD6TY,B09P9XZC6D,B015TKUPIC,B07MVY7K43,B016UG6PWE,B08WZFPXFM,B0CB7H12GD",,,,,,,,
288,battery jumper starter,电池跳线启动器,,,0.001,#REF!,2852,281,0.0987,4,1,495397,,,,,2,794,3.59,24,0.3355,0.1551,$4.90,$3.68 - $6.13,B015TKUPIC,0.1632,0.1034,B000JFJLP6,0.1149,0.0345,B016UG6PWE,0.0575,0.0172,"B0BQHNQH2K,B087LRFYDB,B09ZXSWTJQ,B0CGCRHS2Z,B0CGDWPB1T,B000JFJLP6,B0C4XWBJKF,B015TKUPIC,B09LH5SL12,B0C4Y9NTQT",,,,,,,,
289,jumpbox for cars,汽车跳箱,,,0.0014,#REF!,3226,280,0.0868,4,0,379451,,,,,0,213,15.15,3,0.4787,0.3838,$2.79,$2.09 - $3.50,B015TKUPIC,0.2263,0.1512,B08T637RW9,0.1495,0.1279,B000JFJLP6,0.103,0.1047,"B08T637RW9,B08GYFP5JK,B0C8HZF96X,B000JFJLP6,B09F9CR89W,B015TKUPIC,B09W5SFK6L,B09LH5SL12,B0C4XWBJKF,B0CGJ5GZWM",,,,,,,,
290,gb40,gb40,,,0.0003,自然搜索词/品牌广告词/视频广告词/SP广告词,2664,279,0.1049,4,0,543627,,,,,13,51,52.24,3,0.8758,0.88,$1.11,$0.82 - $1.38,B015TKUPIC,0.8217,0.86,B016UG6PWE,0.0284,0,B07C2VZGJY,0.0258,0.02,"B015TKUPIC,B07C2VZGJY,B0924V8SPC,B09G76SGHD,B016UG6PWE,B0C1SBXT8V,B087LRFYDB,B0B64GH589,B07MVY7K43,B071F36LXZ",,,,,,,,
291,battery booster,电池助推器,,,0.0011,#REF!,5122,277,0.0542,4,1,342869,,,,,21,725,7.06,50,0.4054,0.2501,$3.84,$2.63 - $4.92,B015TKUPIC,0.2097,0.1316,B09F9CR89W,0.1308,0.0724,B0BWM2ZZ3F,0.0649,0.0461,"B0BWM2ZZ3F,B09F9CR89W,B000JFHNQA,B015TKUPIC,B0CGCRHS2Z,B0BHNQYHFN,B087LRFYDB,B0C5X8CVNJ,B0C7BS8P5Y,B0C1SBXT8V",,,,,,,,
292,dewalt inflator,得伟充气机,,,0.0003,自然搜索词,7628,276,0.0362,4,0,213591,,,,,1,307,24.85,26,0.7124,0.6475,$1.22,$0.85 - $1.62,B07H39S9JQ,0.5824,0.5683,B0C64R2VKH,0.0709,0.0288,B0BLL7H59H,0.0593,0.0504,"B07H39S9JQ,B0B99CNLLN,B0CMD3CGRN,B0C64R2VKH,B0CBSL2VTB,B0CNCQ42JP,B0BY3R9M9R,B0CLZXVCZK,B0BP2M1GVB,B0C49M73RQ",,,,,,,,
293,fun car accessories,有趣的汽车配件,,,,HR推荐词/SP广告词,4812,274,0.0571,4,0,272514,,,,,0,50204,0.1,192,0.1439,0.069,$0.64,$0.52 - $0.79,B0CGZNSS3G,0.0622,0.069,B0BD228JJ6,0.0438,0,B0BTRY7ZRQ,0.038,0,"B0CGZNSS3G,B09PB5ZF8N,B076DJY2G1,B0CK6XQV3V,B0BP7DM1TM,B00BYH6C1E,B0BLK3GZBK,B08XRR7D2L,B0C5Y24XFF,B0C32X5CY7",,,,,,,,
294,gooloo,gooloo,,,0.0011,自然搜索词/SP广告词,8647,272,0.0315,4,27,182150,,,,,28,161,53.71,48,0.4111,0.3333,$3.00,$2.25 - $3.75,B09HJH1S41,0.1771,0.1275,B09HYVM6ZT,0.1242,0.0833,B0C5M36W2G,0.1098,0.1225,"B0C5M36W2G,B0C5M79JJC,B084YQSVZ6,B09CPV8GJY,B08CXMS19H,B0BRRLQ54Z,B0C4KRC3FD,B08CC1GYR1,B0B2LLWP7V,B09CTJ158S",,,,,,,,
295,lithium jump starter,锂电起动器,,,0.0007,#REF!,3002,271,0.0904,4,0,700625,,,,,9,500,6,31,0.3614,0.25,$3.55,$2.53 - $4.61,B015TKUPIC,0.1629,0.1406,B0924V8SPC,0.1071,0.0469,B08NPC4VVR,0.0915,0.0625,"B08NPC4VVR,B08NPHZV8N,B09F9CR89W,B015TKUPIC,B0B55RFM1Z,B0C5M36W2G,B0CGCC9WZV,B09Z3W6DZV,B0CLL1JSL3,B09W2GVWKM",,,,,,,,
296,boost juice,加强汁液,,,,SP广告词,1983,271,0.1368,4,0,931229,,,,,4,4324,0.46,3,0.5723,0.5303,$3.57,$2.91 - $4.03,B079HHYDTR,0.3675,0.3485,B0BNQZDFD3,0.1131,0.1212,B08ZC1DV38,0.0919,0.0606,"B079HHYDTR,B0BNQZDFD3,B08ZB8ZWW3,B00CHJJR88,B074P9D8JK,B00LWUP5V6,B0C6YLVTHP,B084HG31YV,B00BCVPVGY,B08D6TS9NT",,,,,,,,
297,battery booster pack,电池增压包,,,,#REF!,2326,270,0.1164,4,0,1675324,,,,,9,699,3.33,7,0.5059,0.3555,$3.32,$2.13 - $4.28,B015TKUPIC,0.2305,0.1111,B09F9CR89W,0.2006,0.1333,B0C5X8CVNJ,0.0749,0.1111,"B09F9CR89W,B0C5X8CVNJ,B0C1SBXT8V,B015TKUPIC,B0BX9D63W9,B000JFHNQA,B0BWM2ZZ3F,B0C7BS8P5Y,B09FJQ7F5R,B0C4XWBJKF",,,,,,,,
298,weego 44s portable jump starter,Weego 44s 便携式启动器,,,,自然搜索词,2989,268,0.0899,4,0,1205132,,,,,0,113,26.45,5,0.8671,0.8571,,'-,B08V88B82M,0.7658,0.8016,B09LJ1T1GN,0.0743,0.0476,B0C1SBXT8V,0.027,0.0079,"B08V88B82M,B015TKUPIC,B0C1SBXT8V,B0CCNJ854J,B09F9CR89W,B0BR791RX8,B0BR74ST2N,B0BPWZKFVV,B0B55RFM1Z,B0CNRDP27B",,,,,,,,
299,jumper battery,跳线电池,,,,#REF!,1877,268,0.143,4,0,1194705,,,,,0,801,2.34,4,0.458,0.4311,$3.86,$2.80 - $4.84,B015TKUPIC,0.2863,0.2414,B087LRFYDB,0.1031,0.1207,B08GYFP5JK,0.0687,0.069,"B015TKUPIC,B08T6KPF2F,B087LRFYDB,B0C4Y9NTQT,B08GYFP5JK,B000JFJLP6,B0BQHNQH2K,B09LH5SL12,B0C4XWBJKF,B09W5SFK6L",,,,,,,,
300,all in one tire air pump car battery charger,一体化轮胎气泵 汽车电池充电器,,,,3314.645,1406,115,0.082,2,2,1185372,,,,,0,204,6.89,28,0.4884,1,,'-,B09FJQ7F5R,0.2093,0.4,B0CJJWJG6S,0.1628,0.2,B09G5WC4TD,0.1163,0.4,"B09FJQ7F5R,B0CJJWJG6S,B09G5WC4TD,B0CGJ5GZWM,B00RZXVQSU,B002X6VXL4,B0CLBCBCSK,B09DP42JLP,B0C2887FTM,B0BN77TKNT",,,,,,,,
301,jumper cable,跨接电缆,,,0.0004,#REF!,5133,265,0.0518,4,$4.00,323587,,,,,15,1212,4.24,49,0.4361,0.4,,$3.00 - $5.00,B079LHNH8D,0.2432,0.2667,B015TKUPIC,0.121,0.0533,B073VHBRFC,0.072,0.08,"B07MWL3YR2,B09592FGCY,B00F9RNIPI,B09ZYT2H5P,B0969KT75Q,B0CNPHKTR5,B01K17TV2O,B0C55DKDMS,B01AXBB2VG,B074DMCRNF",,,,,,,,
302,hulkman jump starter 8.5,绿巨人跳跃启动器 8.5,,,0.001,#REF!,4533,262,0.0579,4,$2.00,404064,,,,,0,100,45.33,5,0.8273,0.7917,,$1.50 - $2.50,B08M41FX48,0.6708,0.6667,B0CB7H12GD,0.1217,0.0917,B08TW8NLTD,0.0348,0.0333,"B08M41FX48,B08TW8NLTD,B0CB7H12GD,B091PK96S1,B0CFTS22D4,B015TKUPIC,B0C5M36W2G,B08TQFHW1C,B0BHQKGMJ4,B0BXT1W7JX",,,,,,,,
303,cbs deals today,CBS 今日优惠,,,0.0001,自然搜索词,3364,262,0.078,4,$0.64,507852,,,,,0,120,28.03,20,0.1844,0.3269,,$0.49 - $0.81,B0CL6KN4WP,0.068,0.0192,B0CF1SY9X6,0.066,0.1731,B0CBWMQXTX,0.0505,0.1346,"B0CRQRP1RL,B0CF1SY9X6,B07CPFDGC7,B0BTM19N44,B00551OPJG,B0897859VJ,B09GWCQGD6,B09CYYG12N,B0BZKHY3WL,B0CH53L4QF",,,,,,,,
304,automotive battery charger,汽车电池充电器,,,0.0001,自然搜索词,6400,262,0.041,4,$2.04,214202,,,,,1,2736,2.34,83,0.3007,0.2534,,$1.53 - $2.55,B097D397M6,0.1239,0.1567,B07W46BX31,0.1095,0.0737,B07895WM6P,0.0673,0.023,"B097D397M6,B07895WM6P,B07BLLRM8R,B094VQ88X2,B0756MDZ1F,B0797KK3N2,B0B67W12TL,B07QPSNZPP,B098JVY4B9,B00KNMKRU8",,,,,,,,
305,car jump,车跳,,,0.0003,自然搜索词/品牌广告词/视频广告词/SP广告词,2529,261,0.1035,4,$3.74,988826,,,,,30,1622,1.56,4,0.5309,0.4932,,$3.08 - $4.76,B015TKUPIC,0.2815,0.2055,B09F9CR89W,0.2011,0.2329,B087LRFYDB,0.0483,0.0548,"B09F9CR89W,B015TKUPIC,B087LRFYDB,B0C4XWBJKF,B0C42Y5TPD,B0BZP6HCVS,B08GYFP5JK,B0CGJ5GZWM,B0CGDWPB1T,B09LH5SL12",,,,,,,,
306,battery air pump,电池气泵,,,,自然搜索词,4018,261,0.0652,4,$2.68,294981,,,,,1,9497,0.42,109,0.3163,0.24,,$2.00 - $3.34,B07F3DNV62,0.1566,0.12,B074KCHDXX,0.0868,0.064,B0BYSJVD3F,0.0729,0.056,"B07F3DNV62,B074KCHDXX,B0BSGH7L51,B0C5HDTWGQ,B096B3NVG3,B0948WY5YX,B0B24N3W9J,B0869379NP,B0BZH3K49Y,B07B64TQJC",,,,,,,,
307,car air pump and battery jumper,汽车气泵和跳线,,,,3276.4968,1671,114,0.0688,2,2,1362802,,,,,0,256,6.53,5,0.2962,0.5,,'-,B0CJJWJG6S,0.1481,0,B0CGJ5GZWM,0.0741,0.3333,B0CFFCWWMD,0.0741,0.1667,"B00RZXVQSU,B09FJQ7F5R,B0CLRSMCB7,B0CCSB31G6,B0CJJWJG6S,B0BN77TKNT,B0CGJ5GZWM,B0CLL149DM,B0C85K846C,B09G5WC4TD",,,,,,,,
308,yaber jump starter,yaber 启动器,,,0.0006,自然搜索词,2854,258,0.0904,4,$2.05,528238,,,,,1,161,17.73,37,0.6294,0.5488,,$1.54 - $2.57,B0C4Y9NTQT,0.2755,0.2561,B0CGJ5GZWM,0.1971,0.1829,B09JNZY3XR,0.1568,0.1098,"B0C4Y9NTQT,B09LH5SL12,B0CGJ5GZWM,B0C5X8CVNJ,B0CGDWPB1T,B09KBVSJT1,B0CFTS22D4,B0C42Y5TPD,B0BRSHR4TY,B0CCKR3FTB",,,,,,,,
309,jumpstart 2022,启动2022年,,,0.0002,自然搜索词,2639,258,0.0979,4,$3.27,896334,,,,,6,43,61.37,3,0.929,0.9361,,$2.46 - $4.09,B0B4XWC128,0.8421,0.9255,B084SDYYMP,0.0553,0,B0B466KK3F,0.0316,0.0106,"B0B4XWC128,B084SDYYMP,B0B466KK3F,B0CHWQ9YK4,B09XF8DTD7,B0BJ4V1F15,B0B845GZTC,B09ZK8FZZK,B015TKUPIC,B0B4667BXS",,,,,,,,
310,jumpropes,跳绳,,,,视频广告词,1405,257,0.1835,4,$0.28,1112838,,,,,3,1413,0.99,5,0.4284,0.1111,,$0.23 - $0.34,B09XXNMF1R,0.2381,0.1111,B0017DCPZ2,0.0952,0,B09DF9NWC7,0.0952,0,"B0C2GWHBV3,B09DF9NWC7,B07G2DFZZG,B0017DCPZ2,B08ZCV443V,B07P2F2YHT,B0B79FV2DJ,B08MKGKRQW,B09XXNMF1R,B01F4Z34MQ",,,,,,,,
311,noco boost hd,诺科提升高清,,,0.0006,自然搜索词/品牌广告词/视频广告词,3119,254,0.0816,4,$1.16,544826,,,,,1,76,41.04,3,0.9046,0.8387,,$0.87 - $1.46,B016UG6PWE,0.6723,0.7097,B015TKUPIC,0.1564,0.0806,B015TKSSB8,0.0761,0.0484,"B016UG6PWE,B07C2VH2MV,B015TKSSB8,B015TKUPIC,B08WYKD6TY,B0CF91YLTB,B07C2XLR3J,B08WZFPXFM,B0924V8SPC,B0C6JV981H",,,,,,,,
312,emergency roadside kit for car,车用紧急路边套件,,,0.0001,自然搜索词/视频广告词,8705,253,0.0291,4,$1.57,162367,,,,,1,640,13.6,82,0.4869,0.2703,,$0.88 - $1.96,B01C96AFWU,0.1867,0.1081,B07XKGWNP8,0.1518,0.0865,B07FT6R38V,0.1484,0.0757,"B07FT6R38V,B004C16S0O,B0BWYG86KF,B07XKGWNP8,B01C96AFWU,B09DS1BXBF,B07BR7Q4RG,B0C2HG8MXD,B09KRB9JSJ,B07M8LS7MP",,,,,,,,
313,fixaflat,fixaflat,,,,SP广告词,1751,253,0.1448,4,$1.39,1214011,,,,,0,46,38.07,10,0.8112,0.6522,,$1.04 - $1.75,B01FX5TKE8,0.6226,0.5652,B07KPLYG6J,0.0943,0.087,B000C11PYW,0.0943,0,"B01FX5TKE8,B0BCC6BJP7,B01E7N3FY8,B084J9TGCG,B011U1V99S,B0CF2V6W2R,B0107W05OQ,B07N349DMN,B000C11PYW,B08JTS8TPR",,,,,,,,
314,portable car jumper,便携式汽车跳线,,,0.0004,#REF!,2326,250,0.1076,4,$3.43,874609,,,,,0,773,3.01,19,0.5522,0.4565,,$2.84 - $4.92,B015TKUPIC,0.3164,0.2609,B07Z1D26CS,0.1791,0.1304,B09LH5SL12,0.0567,0.0652,"B07Z1D26CS,B0BZP6HCVS,B09LH5SL12,B0CGJ5GZWM,B08GYFP5JK,B0CGCRHS2Z,B015TKUPIC,B0C4XWBJKF,B000JFJLP6,B01D42TYFC",,,,,,,,
315,jumper cables 2 gauge,2号跨接电缆,,,,视频广告词,2948,250,0.085,4,$2.00,677832,,,,,1,212,13.91,4,0.3384,0.1827,,$1.10 - $2.46,B0C5CDD692,0.1759,0.125,B01GSLWX7C,0.0891,0.0577,B09592FGCY,0.0735,0,"B08BL4GQSZ,B0B52BW1K6,B01GSMOFPY,B0C5CDD692,B073VHBG9Y,B08MKNJ9FK,B00R516D3K,B01BX1GRJM,B0714DW8P6,B082KBQNCH",,,,,,,,
316,extra long jumper cables,超长跨接电缆,,,0.0001,自然搜索词,1862,249,0.1341,4,$1.96,947543,,,,,0,204,9.13,5,0.4927,0.3793,,$1.25 - $2.21,B079LDQVYW,0.1765,0.1264,B073VH8G4H,0.1691,0.2069,B079LHNH8D,0.1471,0.046,"B079LHNH8D,B073VH8G4H,B08LW5HFPL,B08XGHKYRJ,B073VHBRFC,B074C3XNGQ,B09ZYT2H5P,B07MWL3YR2,B07BNKLSB9,B0969KT75Q",,,,,,,,
317,battery powered air pump,电池供电的气泵,,,,#REF!,3616,248,0.0688,4,$2.28,321254,,,,,2,7315,0.49,73,0.3427,0.3429,,$1.72 - $2.85,B07F3DNV62,0.1837,0.1714,B074KCHDXX,0.0936,0.0667,B0BMXFR12X,0.0654,0.1048,"B07F3DNV62,B0BSGH7L51,B074KCHDXX,B096B3NVG3,B0B24N3W9J,B0948WY5YX,B0BVM2RR45,B0C5HDTWGQ,B0C64R2VKH,B098QRTN7V",,,,,,,,
318,jumper,跳线,,,0.0221,#REF!,41315,247,0.006,4,$0.57,22763,,,,,8,12223,3.38,395,0.4584,0.189,,$0.47 - $0.67,B00BU7XBOO,0.3665,0,B015TKUPIC,0.0577,0.1063,B000JFJLP6,0.0342,0.0827,"B009EEELX0,B07Z1D26CS,B0BQRTSLYW,B0CGCRHS2Z,B08T6KPF2F,B015TKUPIC,B0C7CPSJG2,B0CCKR3FTB,B000JFJLP6,B072FR5LP2",,,,,,,,
319,car automotive,,,,0.0004,SP广告词,8743,247,0.0283,4,,199901,,,,,1,146910,0.06,54,0.1035,1,,'-,B07LHB3B2Q,0.0517,1,B0CMGGDG96,0.0361,0,0736437304,0.0157,0,"B0CMGGDG96,B0CM6KVCSX,B0CGCHMJ49,B0CN6D1MBF,B0CNRC7H41,B0CPJFH35C,B0CC8Z8Q89,B0CJ3ZVLVF,B0CM6Y2WCH,0736437304",,,,,,,,
320,mens car accessories,男士汽车配件,,,,HR推荐词,4397,247,0.0564,4,$0.77,461126,,,,,0,129585,0.03,145,0.1225,0.1148,,$0.60 - $0.92,B09NCVWMN8,0.0475,0.0164,B0BD4HJYHH,0.0422,0.0328,B09NYDYRJL,0.033,0.0656,"B07Q6CPQK4,B07VGRVKSN,B06ZY896ZM,B09NYDYRJL,B09YVPSYWF,B08XRR7D2L,B0C36VB1GQ,B09KP6DJXZ,B07TZSC1P3,B09X36F1ZK",,,,,,,,
321,real car,真车,,,,自然搜索词,5219,247,0.0474,4,$0.94,514237,,,,,0,138370,0.04,72,0.1527,0.125,,$0.50 - $1.19,B091B366ZV,0.0665,0,B000N4PZXA,0.0475,0.0625,B09RSK7SC2,0.0391,0.0625,"B0B61W426N,B091B366ZV,B0CGHNQ53C,B0CH14PBX9,B0C49SYLY7,B0C6XQKC8Z,B0927D8S51,B0CJ77CVCK,B0CPJ8715P,B0CQ2FJS6T",,,,,,,,
322,dewalt car battery charger jump starter,得伟汽车电池充电器跨接启动器,,,,自然搜索词,2183,245,0.1124,4,,1037928,,,,,0,174,12.55,5,0.6624,0.5172,,'-,B06XD6XBCM,0.3535,0.1724,B09Y78659L,0.1624,0.2069,B086VRNYMM,0.1465,0.1379,"B06XD6XBCM,B086VRNYMM,B09Y78659L,B09Y718XFV,B09Y6YCLQM,B002X6VXL4,B09Y7H556N,B09TBLZ4RV,B09FJQ7F5R,B07QR1CVRF",,,,,,,,
323,battery air compressor,电池空气压缩机,,,0.0002,#REF!,4339,243,0.0562,4,$2.61,326378,,,,,0,1234,3.52,51,0.2872,0.1959,,$2.19 - $3.09,B07H39S9JQ,0.1409,0.0825,B0948WY5YX,0.0752,0.0515,B0C64R2VKH,0.0711,0.0619,"B07H39S9JQ,B096B3NVG3,B0948WY5YX,B0C64R2VKH,B0BSGH7L51,B0BVM2RR45,B0CB5CR1MV,B09SKGM1DN,B0C587P2CN,B0C3L1MD4Z",,,,,,,,
324,self jump starter for car,汽车自动启动器,,,0.0005,#REF!,2561,241,0.0942,4,$2.85,726623,,,,,0,214,11.97,3,0.6966,0.6283,,$2.15 - $3.57,B015TKUPIC,0.3777,0.2821,B08GYFP5JK,0.2367,0.2949,B0BZP6HCVS,0.0824,0.0513,"B08GYFP5JK,B015TKUPIC,B087LRFYDB,B0BZP6HCVS,B0C8HZF96X,B07Z1D26CS,B07W46BX31,B09F9CR89W,B015TKPT1A,B0BNVLL6MJ",,,,,,,,
325,halo bolt ultimate 2.0,halo bolt ultimate 2.0,,,0.0001,SP广告词,2956,241,0.0816,4,$3.15,992391,,,,,3,64,46.19,14,0.7738,0.2766,,$2.35 - $3.94,B0CR1YLKSZ,0.6674,0.2553,B08KJNJJL2,0.0679,0,B07B2THJJV,0.0385,0.0213,"B0CR1YLKSZ,B08KJNJJL2,B07B2THJJV,B0B59WXN6H,B09S62N7MK,B0B52JLW4W,B088W5748B,B09LB9RMVG,B09KRLTGZR,B09YXZX7CC",,,,,,,,
326,solar car battery charger,太阳能汽车电池充电器,,,,SP广告词,5756,240,0.0417,4,$2.79,249304,,,,,1,508,11.33,45,0.5008,0.2606,,$2.07 - $3.90,B07JLWFPX6,0.2877,0.2,B06WP95W51,0.1379,0.0485,B08CHC1J78,0.0754,0.0121,"B07JLWFPX6,B017K6PH1S,B08CHC1J78,B07RXKN9MF,B07QBY7626,B08K2T4RPH,B06WP95W51,B08FBZZXVM,B0BWY64QTY,B07QB3N2PW",,,,,,,,
327,car starter battery pack,汽车启动电池组,,,0.0005,自然搜索词/品牌广告词/视频广告词/SP广告词,2471,239,0.097,4,$2.88,629172,,,,,2,2675,0.92,8,0.4726,0.3623,,$2.16 - $3.59,B015TKUPIC,0.2651,0.1884,B08GYFP5JK,0.1095,0.058,B0C42Y5TPD,0.098,0.1159,"B08GYFP5JK,B015TKUPIC,B0C4XWBJKF,B087LRFYDB,B0CN91TGQW,B0C5X8CVNJ,B0B7X3KYZV,B0CHYHQ9QJ,B0CGJ5GZWM,B09ZXSWTJQ",,,,,,,,
328,wooloo,羊毛,,,,自然搜索词,1379,239,0.1735,4,$0.34,1968657,,,,,23,54,25.54,4,0.818,1,,$0.25 - $0.43,B08Z67HK5T,0.4091,0.5,B0BXRM18KR,0.3409,0.5,B08KT9813W,0.0682,0,"B08Z67HK5T,B0BXRM18KR,B09ZK2MZDC,B094XJTPM4,B0BSSGS7MY,B093F1KMDP,B09ZK69ZGL,B0BN2TP8QQ,B085X3HC58,B083S4DZK7",,,,,,,,
329,jumper starter,跳线启动器,,,0.0006,#REF!,2417,238,0.0988,4,$3.63,848919,,,,,6,811,2.98,43,0.3765,0.3126,,$2.77 - $4.26,B015TKUPIC,0.1676,0.125,B09F9CR89W,0.1118,0.1563,B000JFJLP6,0.0971,0.0313,"B09F9CR89W,B0CGJ5GZWM,B0CCKR3FTB,B0BQHNQH2K,B0C8HZF96X,B0CGDWPB1T,B015TKUPIC,B0BL1L8XVW,B0BBG7RZTN,B016UG6PWE",,,,,,,,
330,viper 5706v,毒蛇 5706v,,,,SP广告词,1304,238,0.1826,4,$0.34,1587223,,,,,3,61,21.38,1,0.8371,1,,$0.25 - $0.43,B00GT2GA6Q,0.7442,0.5,B00HAQYT8Q,0.0465,0.5,B00H5XV338,0.0465,0,"B00GT2GA6Q,B06XMXK9Y2,B0BXV6SNN3,B00HAQYT8Q,B0BQ9G6SJH,B079KK7K2X,B00HAQYQUC,B08GRBWRGS,B00H5XV338,B016WZ5OAW",,,,,,,,
331,small engine turbo,小型发动机涡轮,,,,SP广告词,2650,238,0.0899,4,$1.00,672988,,,,,0,6734,0.39,4,0.5113,0,,$0.75 - $1.25,B098PZB88L,0.3292,0,B0BRBLSTC2,0.0923,0,B01A0MG5OM,0.0898,0,"B098PZB88L,B01A0MG5OM,B09BV5DD84,B083LV9HMW,B0B7BV3HP8,B08GHGZRY3,B0BRBLSTC2,B0B2LNFD4G,B0BRC1MQR5,B0CNCQFB8D",,,,,,,,
332,db power battery jump starter,db动力电池跨接启动器,,,0.0005,自然搜索词,2483,237,0.0957,4,$3.39,676267,,,,,0,116,21.41,5,0.7304,0.6039,,$2.66 - $4.44,B01D42TYFC,0.4694,0.4158,B07SST4Y63,0.175,0.0891,B0C9TFG84G,0.0861,0.099,"B01D42TYFC,B07DWSYYZR,B09KLCD71F,B09KH398RY,B07SST4Y63,B0C9TFG84G,B0C3R82LJF,B0CD261BDJ,B09ZXSWTJQ,B0B12HGNMV",,,,,,,,
333,halo bolt 58830,光环螺栓 58830,,,,SP广告词,1909,236,0.1238,4,$3.23,895533,,,,,7,131,14.57,15,0.7164,0.3095,,$2.42 - $4.03,B079FSPRXM,0.4023,0.2143,B08KJNJJL2,0.1609,0.0476,B07FM85W13,0.1533,0.0476,"B079FSPRXM,B08KJNJJL2,B079G339G7,B09LB9RMVG,B083SCJ1H4,B07JF5NFL2,B0C4PMYTT9,B0C7T25BB7,B088W418HN,B09S62N7MK",,,,,,,,
334,jumper cable kit,跨接电缆套件,,,,#REF!,1724,235,0.1365,4,$2.93,1400965,,,,,0,861,2,4,0.5192,0.3333,,$1.60 - $3.25,B09KRB9JSJ,0.3077,0,B004C16S0O,0.1346,0.1111,B079LHNH8D,0.0769,0.2222,"B09KRB9JSJ,B004C16S0O,B079LHNH8D,B07FT6R38V,B07PPD6ZKV,B0924V8SPC,B0969KT75Q,B072MGHY1W,B01GU4O3GG,B08T6KPF2F",,,,,,,,
