source_row,图片,ASIN,SKU,详细参数,品牌,品牌链接,商品标题,商品详情页链接,商品主图,PASIN,亚马逊标识,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,近30天销量,近30天销量增长率,子体销量,近30天销售额($),近30天销售额增长率($),价格($),Prime价格($),Coupon,毛利率,FBA($),评分,评分数,留评率,月新增_评分数,Q&A数,评级,上架时间,上架天数,LQS,变体数,卖家数,Buybox卖家,BuyBox类型,卖家所属地,卖家信息,卖家首页,配送方式,重量,重量_2,体积,体积_2
40,,B0036E9VB6,Style: Air Compressor,Brand: VIAIR | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Corded Electric | Noise Level: 76 dB,VIAIR,https://www.amazon.com/stores/VIAIRCORPORATION/page/96E139B3-C405-40B9-9627-D6337BD692DA?ref_=ast_bln,"VIAIR 85P - 00085 Tire Inflator Portable Air Compressor for Car, Truck & SUV 12V On/Offroad Tire Pump Air Compressor Portable Heavy Duty 60 PSI, Cigarette Plug, Twist Chuck",https://www.amazon.com/dp/B0036E9VB6?psc=1,https://images-na.ssl-images-amazon.com/images/I/71k2NYn1IPL._AC_US600_.jpg,B01HB1KM08,AC ABS V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3492,2479,0.4152,Wheel & Tire Air Compressors & Inflators,89,686,0.0747,600+,47985.7,0.0747,69.95,,,0.7312,8.31,4.6,4065,0.0204,14,279,,2010-01-28,5100,8.9,1,31,JBTools,FBM,,,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1AUFI5NHGNZ61,FBM,4.3 Pounds,1.95 kg,"9.25""L x 5.5""W x 6.75""H",
41,,B0C6ZZR3MF,,"Brand: Kapopop | Voltage: 12 | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Special Feature: Pressure Detection, Portable, Cordless, Automatic Shut-Off, Quick Inflation",Kapopop,https://www.amazon.com/stores/Kapopop/page/ED8AB61B-61E9-4034-BF90-855FF4919098?ref_=ast_bln,"Kapopop K1 Tire Inflator Portable Air Compressor,150 PSI Electric Air Pump for Car Tires,4X Fast Inflation Tire Pump,Cordless Portable Tire Inflator With Digital Pressure Gauge for Car/Motor/Bike/Ball",https://www.amazon.com/dp/B0C6ZZR3MF?psc=1,https://images-na.ssl-images-amazon.com/images/I/41tIriV1vVL._AC_US600_.jpg,B0C6ZZR3MF,AC BS NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3632,'-754,'-0.2177,Wheel & Tire Air Compressors & Inflators,90,1210,0.6688,"1,000+",71305.3,0.6688,58.93,,10%,0.7465,6.1,4.6,429,0,0,14,,2023-08-10,158,10,1,3,hengyunjie,FBA,CN,"公司名称：shenzhenshihengyunjiejiajuyouxiangongsi
办公地址：
沙头角街道田心社区沙深路142号2栋东汇大楼101
深圳市
盐田区
广东省
518083
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2DNK0G43C12HQ,FBA,1.18 Pounds,535.24 g,"32.5""L x 1.97""W x 6.1""H",
42,,B0BYRXJBDX,Color: black,,Fanttik,https://www.amazon.com/stores/FANTTIK/page/35DA621D-2547-47DE-AC21-55DD1E4040AE?ref_=ast_bln,"Fanttik Air Pump Hose Adapter, Extension Hose for Schrader and Presta Valve, 19.96'' Locking Tire Chuck Tube, VG8/8V1 Screw Thread Connection, Tire Inflator Universal, Suit for Car, Motorcycle, Bike",https://www.amazon.com/dp/B0BYRXJBDX?psc=1,https://images-na.ssl-images-amazon.com/images/I/21w3wiPFRZL._AC_US600_.jpg,B0CNJH5XGF,AC ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3669,'-1662,'-1.0036,Wheel & Tire Air Compressors & Inflators,91,1064,0.1501,"1,000+",19141.36,0.1501,17.99,,,0.6188,4.16,4.5,226,0.0282,30,6,,2023-03-16,305,9.9,2,1,Fanttik Innovation Direct,FBA,CN,"公司名称：shenzhenshi daosishangmao youxiangongsi
办公地址：
宝龙街道宝龙社区宝龙四路2号安博科技宝龙厂区2号厂房401-22
深圳市
龙岗区
广东省
518000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A30MIYRTO6RN4I,FBA,2.4 ounces,68.04 g,6.1 x 4.13 x 0.94 inches,15.49 x 10.49 x 2.39 cm
43,,B09W2BYY8L,,Brand: populo | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 75 dB,populo,https://www.amazon.com/stores/populo/page/77E09809-E7D1-442F-B99B-B16382F93600?ref_=ast_bln,"Dual-Power Cordless Tire Inflator Portable Air Compressor, Rechargeable Battery Powered Tire Pump with USB Charge, 150PSI 12V Car DC Electric Air Pump with Digital Pressure Gauge for Car, Bike, etc",https://www.amazon.com/dp/B09W2BYY8L?psc=1,https://images-na.ssl-images-amazon.com/images/I/71wxwzuuJtL._AC_US600_.jpg,B09W2BYY8L,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3721,1996,0.2964,Wheel & Tire Air Compressors & Inflators,92,635,0.0294,500+,25380.951,0.0294,39.97,,,0.6821,6.71,4.3,446,0.0409,26,28,,2022-03-20,666,10,1,1,Populo Tools,FBA,CN,"公司名称：yong kang shi gui jie mao yi you xian gong si
办公地址：
象珠镇派溪吕村同心路28号二楼
金华市
永康市
浙江
321300
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A13AK7YP7LD5YQ,FBA,1.03 Kilograms,1.03 kg,8.26 x 6.02 x 3.18 inches,20.98 x 15.29 x 8.08 cm
44,,B0CJV6X9QB,,,LUMITECO,https://www.amazon.com/LUMITECO/b/ref=bl_dp_s_web_20710837011?ie=UTF8&node=20710837011&field-lbr_brands_browse-bin=LUMITECO,"LUMITECO 12'' Tire Inflator Extension Tube, Tyre Pump Quick Inflation Chuck Adapter Hose for Quick-Inflation, Clip-On Connector High-Pressure Tube Car Motorcycle Bicycle Maintenance Accessories",https://www.amazon.com/dp/B0CJV6X9QB?psc=1,https://images-na.ssl-images-amazon.com/images/I/31mjd9qe-lL._AC_US600_.jpg,B0CJV6X9QB,ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3816,1910,0.3639,Wheel & Tire Air Compressors & Inflators,93,486,0.7476,400+,4369.1396,0.7476,8.99,,5%,0.5775,2.45,4.4,17,0.0226,11,,,2023-09-25,112,10,1,1,LUMITECO,FBA,CN,"公司名称：Suzhou Beiyite Yiqiyibiao Youxiangongsi
办公地址：
苏蠡路90号312号-B
苏州
吴中区
江苏
215128
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1ZZK63NUU4DVM,FBA,3.2 ounces,90.72 g,6.18 x 5.91 x 0.71 inches,15.70 x 15.01 x 1.80 cm
45,,B0CKXZNLJN,Color: Black,"Brand: ZUZEE | Voltage: 16 Volts (DC) | Power Source: Battery Powered | Noise Level: 80 dB | Special Feature: Car Cigarette Lighter Power Supply, Pressure Detection, Multi-function Lighting, 10400mAh Power Bank",ZUZEE,https://www.amazon.com/ZUZEE/b/ref=bl_dp_s_web_119154851011?ie=UTF8&node=119154851011&field-lbr_brands_browse-bin=ZUZEE,"Portable Air Compressor, ZUZEE 3X Faster Portable Tire Inflator | 150PSI, Triple LCD, Multi Inflation Mode | Air Pump for Tires of Car, Bicycle, Motorcycle, also for Balls, Mattresses, etc",https://www.amazon.com/dp/B0CKXZNLJN?psc=1,https://images-na.ssl-images-amazon.com/images/I/71FJd6dETJL._AC_US600_.jpg,B0CRKSYT71,ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,3986,4021,0.5098,Wheel & Tire Air Compressors & Inflators,94,616,0.6646,500+,49273.84,0.6646,79.99,,,0.7507,7.94,4.6,184,0.0601,37,8,,2023-10-11,96,10,1,4,ZUZEE Direct Store,FBA,CN,"公司名称：shenzhenshihaoyedianzishangwuyouxiangongsi
办公地址：
福田区莲花街道
福中社区金田路4028号荣超经贸中心A309-F069
深圳市
广东
518029
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2RMWSZF72ZK7L,FBA,1350 Grams,1.35 kg,"2.75""L x 2.75""W x 8.97""H",
46,,B0C754GPJG,,"Color: Multi | Brand: RYOBI | Material: ABS Plastic | Item Weight: 2.95 Pounds | Product Dimensions: 9.26""L x 3.96""W x 10.32""H",RYOBI,https://www.amazon.com/RYOBI/b/ref=bl_dp_s_web_20720457011?ie=UTF8&node=20720457011&field-lbr_brands_browse-bin=RYOBI,RYOBI ONE+ 18V Dual Function Inflator/Deflator P747 (Tool Only)(Bulk Packaged),https://www.amazon.com/dp/B0C754GPJG?psc=1,https://images-na.ssl-images-amazon.com/images/I/51ImCAeCtJL._AC_US600_.jpg,B0C754GPJG,,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4086,'-807,'-0.3013,Wheel & Tire Air Compressors & Inflators,95,827,0.736,700+,66118.65,0.736,79.95,,,0.7521,7.83,4.7,29,0.0157,13,3,,2023-06-04,225,7.5,1,6,Chan's eStore Ltd. Co.,FBA,US,"公司名称：Chan's eStore LTD, Co
办公地址：
1122 Sugar Creek Blvd
SUGAR LAND
TX
77478
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1JG6XZLG6YESZ,FBA,2.95 Pounds,1.34 kg,"9.26""L x 3.96""W x 10.32""H",
47,,B0C7C88JFD,Style: 2nd Gen,Brand: Xiaomi | Voltage: 5 Volts (DC) | Recommended Uses For Product: outdoor/indoor | Power Source: Battery Powered | Noise Level: 80 dB,Xiaomi,https://www.amazon.com/stores/Xiaomi/page/02B8D23F-3BED-4542-AB11-43606B9FD75E?ref_=ast_bln,"Xiaomi Portable Electric Air Compressor, 150 PSI Tire Inflator for Car, Scooter, Bike Tires and Balls - Cordless with Digital Pressure Detection",https://www.amazon.com/dp/B0C7C88JFD?psc=1,https://images-na.ssl-images-amazon.com/images/I/41nl8oGxWbL._AC_US600_.jpg,B0C8S9LD4X,AC A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4174,2449,0.3898,Wheel & Tire Air Compressors & Inflators,96,612,'-0.4985,500+,36713.883,'-0.4985,59.99,,,0.7483,6.1,4.5,33588,0.2467,151,58,,2023-06-06,223,9.9,2,5,MrArm,FBA,CN,"公司名称：shenzhenshizhengdaqiankejiyouxiangongsi
办公地址：
坂田街道五和社区
和磡村八巷6号824
深圳
龙岗区
广东
518000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2IYKCMJOCAD01,FBA,2.1 Ounces,59.53 g,"2.97""L x 1.8""W x 4.84""H",
48,,B0C596LMPL,Color: Yellow,Brand: FBK | Voltage: 12 | Power Source: Corded Electric | Noise Level: 95 dB | Special Feature: Portable,FBK,https://www.amazon.com/FBK/b/ref=bl_dp_s_web_115882434011?ie=UTF8&node=115882434011&field-lbr_brands_browse-bin=FBK,"Portable Tire Inflator Digital Air Compressor 12V DC Tire Air Pump Car Accessories with Auto Shut-Off Function, Emergency LED Light, Carrying Case, Set of Nozzle Adaptors for Car, Motorcycle, Bicycle",https://www.amazon.com/dp/B0C596LMPL?psc=1,https://images-na.ssl-images-amazon.com/images/I/71-4w1kszuL._AC_US600_.jpg,B0CP26XHMW,AC BS NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4282,1746,0.3047,Wheel & Tire Air Compressors & Inflators,97,794,0.3304,400+,26988.06,0.3304,33.99,,,0.6558,6.6,4.8,389,0.0743,59,7,,2023-05-14,246,10,3,2,ZunYiDanGangMaoYiYouXianGongSi,FBA,CN,"公司名称：ZunYiDanGangMaoYiYouXianGongSi
办公地址：
沙河路
永城28号楼2-6-1号
遵义市
红花岗区
贵州省
563000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1SSC3WBP8PHU6,FBA,2.12 Pounds,961.62 g,9.65 x 6.06 x 4.33 inches,24.51 x 15.39 x 11.00 cm
49,,B09P3QBQGQ,,Brand: AstroAI | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 95 dB,AstroAI,https://www.amazon.com/stores/AstroAI/page/28D51F16-1EC3-4C48-903C-331F8691BF91?ref_=ast_bln,"AstroAI Cordless Tire Inflator Portable Air Compressor for Car 160PSI with HD Screen, 3 Power Sources & Dual Powerful Motors, Heavy Duty Air Pump Inflation/Deflation father day gifts",https://www.amazon.com/dp/B09P3QBQGQ?psc=1,https://images-na.ssl-images-amazon.com/images/I/410jjXq0P9L._AC_US600_.jpg,B09P3QBQGQ,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4413,2177,0.3648,Wheel & Tire Air Compressors & Inflators,98,857,'-0.192,800+,76264.43,'-0.192,88.99,,,0.7464,9.22,4.6,704,0.056,48,53,,2022-06-28,566,10,1,1,AstroAI Direct,FBA,US,"公司名称：AstroAI Corporation
电话号码：+1 877 278 7624
办公地址：
7423 Doig Dr
GARDEN GROVE
CA
92841
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2NOFZGOKNP3PJ,FBA,7.03 Pounds,3.19 kg,"14.25""L x 6.22""W x 8.46""H",
50,,B0BLL7H59H,,Brand: IRONFIST | Voltage: 20 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 20 dB,IRONFIST,https://www.amazon.com/IRONFIST/b/ref=bl_dp_s_web_116098501011?ie=UTF8&node=116098501011&field-lbr_brands_browse-bin=IRONFIST,"IRONFIST Tire Inflator for DEWALT Battery Portable Air Compressor for Car, Bicycle, Ball, 20V Auto Tire Pump with Digital Pressure Gauge (Tool Only, NO Battery)",https://www.amazon.com/dp/B0BLL7H59H?psc=1,https://images-na.ssl-images-amazon.com/images/I/51pTdwblfQL._AC_US600_.jpg,B0BLL7H59H,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4567,1861,0.3225,Wheel & Tire Air Compressors & Inflators,99,629,0.161,500+,23266.71,0.161,36.99,,5%,0.6637,6.89,4.3,256,0.0413,26,3,,2022-11-05,436,10,1,3,IRONFIST PRODUCTION,FBA,CN,"公司名称：NANTONG TIEQUAN JIDIAN GONGJU YOU XIAN GONG SI
办公地址：
景兴路288号
南通市
开发区
江苏省
226200
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A36D6CI17KIY38,FBA,946 Grams,946.00 g,"9.06""L x 2.56""W x 6.69""H",
51,,B0CNGMP1DX,,Brand: LISIXLIUYI | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 85 dB,LISIXLIUYI,https://www.amazon.com/stores/LISIXLIUYI/page/3A9073FF-2520-4037-A82B-FA720423E79C?ref_=ast_bln,Tire Inflator Portable Air Compressor 160PSI Auto Shut-Off Smart Air Pump for Car Tires Cordless 2X Faster Inflation with Digital LCD Pressure Gauge for Car Motorcycle Bike and Balls,https://www.amazon.com/dp/B0CNGMP1DX?psc=1,https://images-na.ssl-images-amazon.com/images/I/41KYK+Fv11L._AC_US600_.jpg,B0CNGMP1DX,V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,4571,,0,Wheel & Tire Air Compressors & Inflators,100,8,,,559.92,,69.99,,,0.7541,6.71,,,0,,,,2024-01-09,6,7,1,1,Sixliuyi,FBA,CN,"公司名称：shenzhenliuliuyaoguojimaoyiyouxiangongsi
办公地址：
龙华区
福城街道丹湖社区悦兴路1-3号二单元14B
深圳市
广东省
518110
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A281J4JCDPKY6M,FBA,0.6 Kilograms,600.00 g,"3.1""L x 2.2""W x 7.6""H",
52,,B07QR4Q42L,Color: Yellow,Brand: AstroAI | Voltage: 12 Volts | Recommended Uses For Product: Pump Up | Power Source: Corded Electric | Noise Level: 80 dB,AstroAI,https://www.amazon.com/stores/AstroAI/page/28D51F16-1EC3-4C48-903C-331F8691BF91?ref_=ast_bln,"AstroAI Tire Inflator Portable Air Compressor Air Pump for Car Tires - Car Accessories, 12V DC Auto Pump with Digital Pressure Gauge, 100PSI with Emergency LED Light for Bicycle, Balloons",https://www.amazon.com/dp/B07QR4Q42L?psc=1,https://images-na.ssl-images-amazon.com/images/I/71eHittCtZL._AC_US600_.jpg,B08R2N5SDX,AC BS ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1,4,0.8,Wheel & Tire Air Compressors & Inflators,1,30982,'-0.2287,"40,000+",991114.2,'-0.2287,31.99,,10%,0.6437,6.6,4.5,79796,0.059,1828,437,,2019-06-29,1661,10,4,29,AstroAI Direct,FBA,US,"公司名称：AstroAI Corporation
电话号码：+1 877 278 7624
办公地址：
7423 Doig Dr
GARDEN GROVE
CA
92841
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2NOFZGOKNP3PJ,FBA,1 Kilograms,"1,000.00 g","8.27""L x 3.74""W x 6.69""H",
53,,B07MKSP49L,Size: Large | Color: Yellow,"Brand: VacLife | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Corded Electric | Special Feature: easy to use, Portable, DC 12V, Digital, Lamp",VacLife,https://www.amazon.com/stores/VacLifeEasyLife/page/E9F86732-83EE-4BC3-B8D0-F79623398657?ref_=ast_bln,"VacLife Portable Air Compressor - Air Pump for Car Tires (up to 50 PSI), 12V DC Tire Pump for Bikes (up to 150 PSI) w/ LED Light, Digital Pressure Gauge, Model: ATJ-1166, Yellow (VL701)",https://www.amazon.com/dp/B07MKSP49L?psc=1,https://images-na.ssl-images-amazon.com/images/I/51txgcYYwZL._AC_US600_.jpg,B0CK4YCTKR,AC BS ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,10,'-1,'-0.1,Wheel & Tire Air Compressors & Inflators,2,25154,'-0.1307,"10,000+",930446.5,'-0.1307,36.99,,20%,0.6716,6.6,4.5,37761,0.0323,812,343,,2019-03-24,1758,9.9,11,6,VacLife-CMYP,FBA,CN,"公司名称：Fuzhou Chuangmeiyipin Electronics Co., Ltd.
办公地址：
上街镇源通东路118号福晟钱隆城3号楼
福州市
闽侯县
福建省
350108
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A99X10W3N2SL9,FBA,0.95 Kilograms,950.00 g,"9.2""L x 6""W x 3.3""H",
54,,B094DMH7ZM,Size: 1-Pack,Brand: Airmoto | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 78 dB,Airmoto,https://www.amazon.com/stores/Airmoto/page/5C4CC60A-592B-41D0-96AA-51706E21FBBD?ref_=ast_bln,"Airmoto Tire Inflator Portable Air Compressor - Air Pump for Car Tires with Tire Pressure Gauge (120 PSI) - One Click Smart Pump Tire Inflator for Car, Motorcycle, Bicycle and More",https://www.amazon.com/dp/B094DMH7ZM?psc=1,https://images-na.ssl-images-amazon.com/images/I/41LHua9BIhL._AC_US600_.jpg,B0CFTKL47H,AC BS ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,11,4,0.2857,Wheel & Tire Air Compressors & Inflators,3,26086,0.1356,"40,000+",2086619.1,0.1356,79.99,,,0.7774,5.81,4.3,7194,0.0514,1340,157,,2021-05-06,984,9.9,1,2,Airmoto Smart Pumps,FBA,US,"公司名称：Creatunity LLC
电话号码：888-855-6433
办公地址：
120 Turtle Creek Blvd 505
DALLAS
TX
75207
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AML19SOQNINVQ,FBA,1.2 Pounds,544.31 g,7.01 x 3.86 x 1.97 inches,17.81 x 9.80 x 5.00 cm
55,,B0948WY5YX,Color: 1-yellow,Brand: AstroAI | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 80 dB,AstroAI,https://www.amazon.com/stores/AstroAI/page/28D51F16-1EC3-4C48-903C-331F8691BF91?ref_=ast_bln,AstroAI Cordless Tire Inflator Air Compressor 20V Rechargeable Battery Powered 160PSI Portable Handheld Air Pump with 12V Car Power Adapter Digital Pressure Gauge for Cars Motorcycles JY16P160-18（C2）,https://www.amazon.com/dp/B0948WY5YX?psc=1,https://images-na.ssl-images-amazon.com/images/I/414h5eOxjuL._AC_US600_.jpg,B0C3RBS5FP,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,86,72,0.4586,Wheel & Tire Air Compressors & Inflators,4,7739,'-0.1184,"5,000+",510696.6,'-0.1184,65.99,,$7.00,0.7224,8.42,4.6,9755,0.0631,488,187,,2021-10-23,814,10,4,2,AstroAI Direct,FBA,US,"公司名称：AstroAI Corporation
电话号码：+1 877 278 7624
办公地址：
7423 Doig Dr
GARDEN GROVE
CA
92841
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2NOFZGOKNP3PJ,FBA,2.13 Kilograms,2.13 kg,"6.69""L x 3.15""W x 9.45""H",
56,,B07CTGM2LD,Color: 1-red,"Color: 1-red | Brand: AVID POWER | Material: ABS | Item Weight: 1.8 Kilograms | Product Dimensions: 7.48""L x 2.91""W x 10.24""H",AVID POWER,https://www.amazon.com/stores/AvidPower/page/E45A860C-8937-4F98-92E8-EBA89B5188BB?ref_=ast_bln,"AVID POWER Tire Inflator Portable Air Compressor, 20V Cordless Car Tire Pump, Rechargeable Battery Powered Air Compressor w/12V DC Adapter, Digital Pressure Gauge",https://www.amazon.com/dp/B07CTGM2LD?psc=1,https://images-na.ssl-images-amazon.com/images/I/71FQPqHSZVL._AC_US600_.jpg,B09D2TRSHM,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,94,107,0.5487,Wheel & Tire Air Compressors & Inflators,5,6680,'-0.3401,"4,000+",374681.2,'-0.3401,56.09,,,0.6999,8.42,4.4,22529,0.0479,320,547,,2018-04-27,2089,10,4,1,Avid Power,FBA,CN,"公司名称：Shengqin(Guangzhou)DianZiShangWuYouXianGongSi
办公地址：
南村镇万博二路202号1座802
广州
番禺区
广东
511442
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2JDD3IFLZ9FH0,FBA,1.8 Kilograms,1.80 kg,"7.48""L x 2.91""W x 10.24""H",
57,,B0C7ZP41Y3,,"Color: C2 | Brand: Hafuloky | Material: 🏆NO.1 Tire Inflator | Product Dimensions: 2.8""L x 2.6""W x 6.7""H | Power Source: Corded Electric",Hafuloky,https://www.amazon.com/stores/hafuloky/page/F7F78667-99E1-4D72-A719-52B83BD1E227?ref_=ast_bln,"Hafuloky Tire Inflator Portable Air Compressor - 180PSI & 20000mAh Portable Air Pump, Accurate Pressure LCD Display, 3X Fast Inflation for Cars, Bikes & Motorcycle Tires, Balls. P008",https://www.amazon.com/dp/B0C7ZP41Y3?psc=1,https://images-na.ssl-images-amazon.com/images/I/71sB9-Lx0rL._AC_US600_.jpg,B0C7ZP41Y3,BS NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,142,78,0.3594,Wheel & Tire Air Compressors & Inflators,6,4365,'-0.7042,"5,000+",261769.06,'-0.7042,59.97,,,0.7483,6.1,4.4,1330,0,0,70,,2023-06-13,216,10,1,4,XiaoRanDiect,FBA,CN,"公司名称：Dongguanshichuangrandianziyouxiangongsi
电话号码：+8613539009872
办公地址：
常平镇
元富路1号圣旗雅苑3栋1604房
东莞市
广东
523000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1D9R2R7ZKKR6Y,FBA,1.85 pounds,839.15 g,"2.8""L x 2.6""W x 6.7""H",
58,,B0CBR6SWFB,Color: Dark Red,"Brand: VacLife | Voltage: 12 Volts | Power Source: Battery Powered | Noise Level: 80 dB | Special Feature: Portable, Cordless",VacLife,https://www.amazon.com/stores/VacLifeEasyLife/page/E9F86732-83EE-4BC3-B8D0-F79623398657?ref_=ast_bln,"VacLife Cordless Tire Inflator Portable Air Compressor - Multipurpose Air Compressor Portable for Car, Compact Bike Pump, 150PSI Air Pump for Car Tires, Inflatables, Air Compressor for Car, Red",https://www.amazon.com/dp/B0CBR6SWFB?psc=1,https://images-na.ssl-images-amazon.com/images/I/71i5SUrqjFL._AC_US600_.jpg,B0CR3R1M2F,AC BS NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,150,19,0.1173,Wheel & Tire Air Compressors & Inflators,7,4325,0.0935,"5,000+",216206.75,0.0935,49.99,32.99,,0.728,6.1,4.5,563,0.0398,172,16,,2023-07-12,187,10,3,3,VacLife-CMYP,FBA,CN,"公司名称：Fuzhou Chuangmeiyipin Electronics Co., Ltd.
办公地址：
上街镇源通东路118号福晟钱隆城3号楼
福州市
闽侯县
福建省
350108
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A99X10W3N2SL9,FBA,1.23 Pounds,557.92 g,"2.76""L x 2.05""W x 6.54""H",
59,,B07W1W2V9M,Color: Red,Brand: TEROMAS | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: ac/dc | Noise Level: 92 dB,TEROMAS,https://www.amazon.com/stores/TEROMAS/page/3029BF1B-8DB4-4B9A-9ACB-C5170673024F?ref_=ast_bln,"TEROMAS Tire Inflator Air Compressor, Portable DC/AC Air Pump for Car Tires 12V DC and Other Inflatables at Home 110V AC, Digital Electric Tire Pump with Pressure Gauge (Red)",https://www.amazon.com/dp/B07W1W2V9M?psc=1,https://images-na.ssl-images-amazon.com/images/I/41-SX9Ad-8L._AC_US600_.jpg,B09F35NTYT,AC BS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,161,74,0.3071,Wheel & Tire Air Compressors & Inflators,8,6179,'-0.1211,"3,000+",182095.12,'-0.1211,29.47,,,0.6162,6.89,4.4,18748,0.045,278,404,,2019-07-31,1629,9.9,5,5,teromas,FBA,CN,"公司名称：zhujishicenlonghuwaiyongpinyouxiangongsi
办公地址：
诸暨市安华镇蔡家畈村（华南路与诸安线十字路口朗臻创业园40号厂房5楼）
绍兴市
浙江
311800
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A11NP8911CS5HT,FBA,2.6 Pounds,1.18 kg,"9.45""L x 3.07""W x 7.08""H",
